subject,kernel,r_s,balanced_hit_seed_mean,raw_hit_seed_mean,auc_seed_mean
P3Numbers_20150107_m_14_001,33,11,1.0,1.0,0.8484126984126984
P3Numbers_20150107_m_14_002,33,14,0.0,0.0,0.5755500207555002
P3Numbers_20150107_m_14_003,33,6,0.6666666666666666,1.0,0.7971643518518517
P3Numbers_20150107_m_14_004,33,24,1.0,1.0,0.6511937557392102
P3Numbers_20150107_m_14_005,33,9,0.6666666666666666,0.3333333333333333,0.6524683267802533
P3Numbers_20150107_m_15_001,33,17,0.6666666666666666,0.6666666666666666,0.6857203569910753
P3Numbers_20150126_f_09_001,33,13,1.0,1.0,0.843064692982456
P3Numbers_20150126_f_09_002,33,4,0.0,0.3333333333333333,0.6175799086757991
P3Numbers_20150126_f_10_001,33,15,1.0,1.0,0.7897474462618286
P3Numbers_20150126_f_11_001,33,26,0.6666666666666666,1.0,0.5671041119860017
P3Numbers_20150126_f_12_001,33,30,1.0,1.0,0.7065801409531783
P3Numbers_20150126_f_12_002,33,19,1.0,0.6666666666666666,0.7620984379605069
P3Numbers_20150126_f_12_003,33,4,1.0,1.0,0.8238265002970885
P3Numbers_20150126_f_12_004,33,21,1.0,1.0,0.6353329210472068
P3Numbers_20150126_f_13_001,33,25,0.6666666666666666,0.3333333333333333,0.5438003220611917
P3Numbers_20150126_f_14_001,33,14,1.0,1.0,0.7355442176870749
P3Numbers_20150126_m_07_001,33,17,0.0,0.6666666666666666,0.5639400921658986
P3Numbers_20150126_m_09_001,33,24,1.0,0.0,0.5247678018575851
P3Numbers_20150126_m_12_001,33,6,0.3333333333333333,0.0,0.5641025641025642
P3Numbers_20150126_m_12_002,33,16,0.0,0.0,0.5588712522045856
P3Numbers_20150126_m_12_003,33,13,0.6666666666666666,0.6666666666666666,0.6430235266713255
P3Numbers_20150126_m_12_004,33,14,1.0,0.6666666666666666,0.6484245439469319
P3Numbers_20150126_m_13_001,33,14,1.0,1.0,0.6615937746256896
P3Numbers_20150126_m_13_002,33,22,0.3333333333333333,1.0,0.6146779729456895
P3Numbers_20150126_m_15_001,33,14,1.0,1.0,0.7818713450292397
